nback_loop.thisRepN,nback_loop.thisTrialN,nback_loop.thisN,nback_loop.thisIndex,key_resp_nback.keys,nback_level,target_cat,animal_img,scene_img,trial_resp_corr,trial_num,target_repeat,lure_repeat,block_num,total_resp_corr,total_target_corr,key_resp_nback.rt,participant,age,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,0,0,0,None,1,animal,145,129,1,0,0,0,1,1,0,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,1,1,1,None,1,animal,57,27,1,1,0,0,1,2,0,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,2,2,2,None,1,animal,142,29,1,2,0,0,1,3,0,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,3,3,3,space,1,animal,142,148,1,3,1,0,1,4,1,0.6341212309635011,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,4,4,4,None,1,animal,69,124,1,4,0,0,1,5,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,5,5,5,None,1,animal,53,93,1,5,0,0,1,6,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,6,6,6,None,1,animal,4,111,1,6,0,0,1,7,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,7,7,7,None,1,animal,114,87,1,7,0,0,1,8,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,8,8,8,None,1,animal,101,87,1,8,0,1,1,9,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,9,9,9,None,1,animal,113,9,1,9,0,0,1,10,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,10,10,10,None,1,animal,143,119,1,10,0,0,1,11,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,11,11,11,None,1,animal,107,125,1,11,0,0,1,12,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,12,12,12,None,1,animal,122,24,1,12,0,0,1,13,1,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,13,13,13,space,1,animal,122,64,1,13,1,0,1,14,2,0.5329842832579743,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,14,14,14,None,1,animal,158,64,1,14,0,1,1,15,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,15,15,15,None,1,animal,88,95,1,15,0,0,1,16,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,16,16,16,None,1,animal,131,110,1,16,0,0,1,17,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,17,17,17,None,1,animal,100,141,1,17,0,0,1,18,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,18,18,18,None,1,animal,6,165,1,18,0,0,1,19,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,19,19,19,None,1,animal,31,8,1,19,0,0,1,20,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,20,20,20,None,1,animal,37,12,1,20,0,0,1,21,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,21,21,21,None,1,animal,73,12,1,21,0,1,1,22,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,22,22,22,None,1,animal,83,18,1,22,0,0,1,23,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,23,23,23,None,1,animal,97,101,1,23,0,0,1,24,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,24,24,24,None,1,animal,128,68,1,24,0,0,1,25,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,25,25,25,None,1,animal,85,156,1,25,0,0,1,26,2,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,26,26,26,space,1,animal,85,17,1,26,1,0,1,27,3,0.5512025476637064,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,27,27,27,None,1,animal,51,17,1,27,0,1,1,28,3,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,28,28,28,None,1,animal,95,70,1,28,0,0,1,29,3,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,29,29,29,None,1,animal,90,134,1,29,0,0,1,30,3,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,30,30,30,None,1,animal,3,158,1,30,0,0,1,31,3,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,31,31,31,None,1,animal,40,71,1,31,0,0,1,32,3,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,32,32,32,None,1,animal,46,163,1,32,0,0,1,33,3,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,33,33,33,space,1,animal,46,152,1,33,1,0,1,34,4,0.5957386288500857,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,34,34,34,None,1,animal,105,167,1,34,0,0,1,35,4,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,35,35,35,None,1,animal,81,65,1,35,0,0,1,36,4,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,36,36,36,None,1,animal,23,65,1,36,0,1,1,37,4,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,37,37,37,None,1,animal,19,166,1,37,0,0,1,38,4,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,38,38,38,None,1,animal,62,103,1,38,0,0,1,39,4,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,39,39,39,None,1,animal,61,81,1,39,0,0,1,40,4,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,40,40,40,space,1,animal,61,81,1,40,1,1,1,41,5,0.4583184362127213,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,41,41,41,None,1,animal,49,104,1,41,0,0,1,42,5,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,42,42,42,space,1,animal,49,50,1,42,1,0,1,43,6,0.7061287086835364,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,43,43,43,None,1,animal,1,113,1,43,0,0,1,44,6,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,44,44,44,None,1,animal,134,112,1,44,0,0,1,45,6,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,45,45,45,None,1,animal,35,112,1,45,0,1,1,46,6,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,46,46,46,space,1,animal,35,155,1,46,1,0,1,47,7,0.6306043928489089,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,47,47,47,None,1,animal,42,130,1,47,0,0,1,48,7,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,48,48,48,space,1,animal,42,54,1,48,1,0,1,49,8,0.6689842295309063,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,49,49,49,None,1,animal,112,54,1,49,0,1,1,50,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
,,,,,,,,,,,,,,,,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,0,0,0,None,1,scene,59,127,1,0,0,0,2,51,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,1,1,1,None,1,scene,119,6,1,1,0,0,2,52,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,2,2,2,None,1,scene,55,82,1,2,0,0,2,53,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,3,3,3,None,1,scene,55,39,1,3,0,1,2,54,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,4,4,4,None,1,scene,64,92,1,4,0,0,2,55,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,5,5,5,None,1,scene,20,126,1,5,0,0,2,56,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,6,6,6,None,1,scene,124,145,1,6,0,0,2,57,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,7,7,7,None,1,scene,124,11,1,7,0,1,2,58,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,8,8,8,None,1,scene,18,117,1,8,0,0,2,59,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,9,9,9,None,1,scene,96,3,1,9,0,0,2,60,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,10,10,10,None,1,scene,71,2,1,10,0,0,2,61,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,11,11,11,None,1,scene,54,38,1,11,0,0,2,62,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,12,12,12,None,1,scene,15,118,1,12,0,0,2,63,8,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,13,13,13,space,1,scene,164,118,1,13,1,0,2,64,9,0.6664728231262416,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,14,14,14,None,1,scene,56,120,1,14,0,0,2,65,9,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,15,15,15,None,1,scene,52,22,1,15,0,0,2,66,9,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,16,16,16,None,1,scene,45,137,1,16,0,0,2,67,9,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,17,17,17,space,1,scene,48,137,1,17,1,0,2,68,10,0.5942982343549374,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,18,18,18,None,1,scene,125,90,1,18,0,0,2,69,10,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,19,19,19,space,1,scene,58,90,1,19,1,0,2,70,11,0.6512605822063051,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,20,20,20,None,1,scene,58,34,1,20,0,1,2,71,11,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,21,21,21,None,1,scene,152,30,1,21,0,0,2,72,11,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,22,22,22,None,1,scene,135,56,1,22,0,0,2,73,11,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,23,23,23,None,1,scene,60,96,1,23,0,0,2,74,11,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,24,24,24,None,1,scene,70,98,1,24,0,0,2,75,11,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,25,25,25,space,1,scene,50,98,1,25,1,0,2,76,12,0.6855519266973715,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,26,26,26,None,1,scene,50,37,1,26,0,1,2,77,12,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,27,27,27,None,1,scene,155,76,1,27,0,0,2,78,12,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,28,28,28,None,1,scene,140,159,1,28,0,0,2,79,12,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,29,29,29,None,1,scene,5,116,1,29,0,0,2,80,12,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,30,30,30,space,1,scene,165,116,1,30,1,0,2,81,13,0.5857645093201427,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,31,31,31,None,1,scene,165,147,1,31,0,1,2,82,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,32,32,32,None,1,scene,11,105,1,32,0,0,2,83,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,33,33,33,None,1,scene,141,107,1,33,0,0,2,84,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,34,34,34,None,1,scene,67,161,1,34,0,0,2,85,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,35,35,35,None,1,scene,65,164,1,35,0,0,2,86,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,36,36,36,None,1,scene,65,63,1,36,0,1,2,87,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,37,37,37,None,1,scene,29,154,1,37,0,0,2,88,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,38,38,38,None,1,scene,163,160,1,38,0,0,2,89,13,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,39,39,39,space,1,scene,163,160,1,39,1,1,2,90,14,0.561085012901458,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,40,40,40,None,1,scene,129,21,1,40,0,0,2,91,14,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,41,41,41,space,1,scene,144,21,1,41,1,0,2,92,15,0.6709674386220286,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,42,42,42,None,1,scene,30,4,1,42,0,0,2,93,15,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,43,43,43,None,1,scene,106,109,1,43,0,0,2,94,15,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,44,44,44,None,1,scene,104,5,1,44,0,0,2,95,15,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,45,45,45,None,1,scene,150,123,1,45,0,0,2,96,15,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,46,46,46,None,1,scene,156,100,1,46,0,0,2,97,15,,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
0,47,47,47,space,1,scene,136,100,1,47,1,0,2,98,16,0.6167314106714912,33,21,2019_Aug_26_1557,calibration_phase,3.0.0b12,59.88858656650749,
